energy,zcr,spec_cent,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,tempo_mean,tempo_std,label
1.60E-11,0.009277344,1624.191889,-1102.410522,38.25603485,30.93472862,21.02820969,11.06100559,3.145963669,-1.671560049,-3.583063602,-3.689598083,-3.379959106,-3.713060379,-5.055954933,-7.080117702,0.284125417,0.704773426,1,0.64319253,0.221490026,0.063883297,0.057106681,0.051015951,0.052421916,0.071507782,0.068150364,0.118129924,0.121959604,0.080280624,0,0.099711962,0.125189558,0.033574704,0.00898864,0.026860738,0.037945814,0.037895706,0.0501252,0.094176769,17.63059821,15.07177153,14.12161633,18.27389592,12.35826892,9.872446254,8.419001286,9.2760852,3.262362046,2.771855994,6.677105194,11.03443994,12.54687485,9.814939345,126.0480183,0,0
6.17E-12,0.017285156,1336.605778,-1106.755005,32.56021881,26.4009819,17.9346962,9.26951313,2.393208265,-1.381560087,-1.739504576,0.619368732,4.249204159,7.428613186,8.696782112,7.298490047,0.107051216,0.108984411,0.089722693,0.074624017,0.226180941,1,0.651378989,0.1877428,0.214228004,0.28112027,0.219920799,0.152047306,0.016426004,0.011762048,0.02243788,0.051726546,0.106897503,0,0.091539063,0.07182198,0.043105189,0.052875455,0.038855832,0.024134627,16.82390882,15.84490635,17.7847164,15.16884869,10.40187107,5.8841824,6.564356929,6.840527323,6.066309301,2.786655579,4.488866277,7.508978889,5.391915919,5.91366959,126.0480183,0,0
1.50E-12,0.003808594,601.0096973,-1122.123291,13.01188469,12.81472588,12.49041367,12.04527187,11.48791218,10.82904625,10.08118439,9.258356094,8.37571907,7.449253082,6.495310783,5.530275822,0.430002928,0.43566817,0.524257898,0.665080369,0.850433469,1,0.890751064,0.767421842,0.667515814,0.600104928,0.512908936,0.447434038,0.224905044,0.202250481,0.185088813,0.150545821,0.064079121,0,0.021063354,0.083044991,0.133894235,0.177727401,0.197262406,0.219919145,11.85666043,13.05720535,12.25121137,11.41989096,9.586198106,6.161978027,5.703869624,3.593299025,2.423351858,2.338413306,2.044609902,4.585118133,6.360621495,3.750638192,126.0480183,0,1
1.91E-11,0.009765625,868.2344103,-1100.643188,40.60923767,33.00356293,22.96179581,13.07598686,5.130815506,-0.348265529,-3.823418379,-6.104300022,-7.810393333,-9.183668137,-10.19258118,-10.72223186,0.234758928,0.52393198,0.892962098,0.985965133,0.400379837,0.140439361,0.158444971,0.146949723,0.067072392,0.050287187,0.080417909,0.127571538,0.135480255,0.136914477,0.083740763,0.028069783,0.134895474,0.102338448,0.054598238,0.071925662,0.060384743,0.041424386,0.023067573,0.04413626,10.94182953,11.30435028,18.73699329,17.84067596,19.81706679,16.38056493,9.038264445,2.070306281,2.970946493,5.879296593,4.562348826,10.57392708,11.37533274,9.43397942,126.0480183,0,0
9.30E-12,0.009863281,1854.752492,-1102.565063,37.48319626,28.84654236,17.69718552,7.377142906,0.30616498,-2.865600348,-3.20027113,-2.631391764,-2.84248805,-4.459391594,-6.927899837,-9.051931381,0.869383216,0.552361071,0.483146131,0.369183362,0.144334346,0.075178288,0.174620956,0.139873192,0.122337028,0.243591458,0.650603116,0.961361527,0.152640104,0.239189863,0.150513023,0.043599643,0.094947971,0.069685988,0.092487268,0.109910615,0.1238726,0.131171674,0.139376625,0.077276923,12.56250213,11.69004816,14.63318933,17.90400253,11.62851885,10.32685395,7.543531459,2.064576267,1.745259275,4.653895006,3.800951482,8.894083007,13.02822568,8.116374927,126.0480183,0,0
1.20E-12,0.022753906,1758.480121,-1122.520264,10.5074749,5.672567368,0.357881874,-3.84980917,-6.413175106,-7.168000221,-6.223380089,-4.017163277,-0.879627883,2.899756908,6.190895557,7.133452415,0.027235512,0.033691578,0.052446116,0.049429618,0.29447782,1,0.370656013,0.055033304,0.029147798,0.033781715,0.028107191,0.027709607,0.012528336,0.016306277,0.009719781,0.013088718,0.045934334,0,0.126112029,0.03889621,0.024255099,0.019251145,0.012514381,0.012877877,9.253705218,6.912898817,17.76926316,17.5947046,21.15635567,9.039959825,7.412551053,5.178387939,3.421142601,2.82722346,2.321774276,3.438139189,5.269936378,6.695670514,126.0480183,0,0
4.82E-12,0.008886719,1511.323197,-1110.781982,27.57360268,23.53982925,18.47089005,13.88725281,10.60609818,8.450490952,6.570467949,4.123092175,0.854273677,-2.772039413,-5.926629066,-7.961750031,0.653039098,1,0.691501796,0.348378062,0.147651553,0.092702299,0.138544321,0.248494908,0.419035763,0.353808135,0.257680088,0.377346814,0.123881444,0,0.136140317,0.17571415,0.107858986,0.058464803,0.026159277,0.024220845,0.026622206,0.050525229,0.133397728,0.149621055,11.98240257,15.27233655,13.34564425,19.48118895,8.012230289,5.051218553,6.201801109,6.56941472,5.620130233,3.036580346,5.641643011,8.738862393,4.273434899,5.360259593,126.0480183,0,1
8.04E-13,0.003613281,679.2817121,-1124.085327,10.25510216,10.11155605,9.875669479,9.552368164,9.148347855,8.671890259,8.132627487,7.541249275,6.909243107,6.248544693,5.571243763,4.889243126,0.667444348,0.710594535,0.815685928,0.929582953,0.992061615,0.934988201,0.828140736,0.792496383,0.838956535,0.779521525,0.690203667,0.67188108,0.157578558,0.134174749,0.116060518,0.064756922,0.013445934,0.02800099,0.082914598,0.132158861,0.145212978,0.160532087,0.190022364,0.17903164,9.42543078,10.8501881,9.985876779,13.87017636,13.7869086,6.733148174,6.03306819,4.269462627,1.695521891,1.606232383,1.33145549,5.959226606,5.836335014,3.703823162,126.0480183,0,1
1.15E-11,0.009277344,1807.465082,-1100.230713,41.07299042,33.53879166,24.49024391,16.53941727,10.52595711,5.8826437,1.892463684,-1.542957306,-4.106440544,-5.621193409,-6.231210232,-6.176281929,0.29406023,0.365072221,0.599245191,0.99834156,0.950727344,0.440531254,0.233559936,0.240577847,0.255135387,0.236913294,0.248987719,0.260118306,0.187099442,0.24105978,0.168888956,0.003316808,0.036904968,0.141727328,0.186209962,0.20303914,0.222073883,0.220979139,0.216614187,0.188000143,8.561695268,7.631523093,13.43666649,12.59860135,13.43136484,5.631043213,6.367450168,4.071429151,2.80875879,2.322271921,4.86525142,9.311156001,4.662984379,4.740667788,125,0,1
4.94E-12,0.009375,1686.103393,-1110.475586,28.32225037,24.97817612,20.38618851,15.56660938,11.28871727,7.838057518,5.046229362,2.52780962,-0.030668844,-2.68598485,-5.229010582,-7.313844204,0.540712357,1,0.806979656,0.432154566,0.182861835,0.142449602,0.221743077,0.363117307,0.526204944,0.459128618,0.2409143,0.274273694,0.096337453,0,0.1054487,0.184223369,0.140630603,0.10267622,0.094049841,0.090570979,0.081039913,0.119764186,0.112752177,0.10750109,12.5967182,11.58299909,13.72386172,16.63925318,8.69119128,5.60934046,6.188044034,6.368070608,3.902410678,3.971238842,7.883981051,7.888771409,5.350312284,5.337969808,126.0480183,0,1
1.73E-11,0.011816406,1554.38741,-1093.338867,47.28171539,32.59970856,19.64436722,14.43257713,14.79479027,14.29517841,9.212543488,1.198972344,-5.868183136,-9.937350273,-11.21282768,-9.999353409,0.226621911,0.286425591,0.575178802,0.567993224,0.61504364,0.669386506,0.847119689,0.957132041,0.824950039,0.73843801,0.407314956,0.217134476,0.155979186,0.134939671,0.157629102,0.160946727,0.152316213,0.172912553,0.089462727,0.05308897,0.098859698,0.14484705,0.188893825,0.200171515,13.3505263,7.745469127,12.87992182,17.79437767,24.57899621,7.241590931,6.535658703,4.211549408,1.708879296,3.036060492,4.743138214,8.089913738,7.50737066,5.210595166,125,0,0
2.31E-11,0.013574219,1490.356312,-1085.22876,56.41109085,35.94144821,16.5171051,6.640905857,5.325074673,6.15528965,4.676151276,1.163398981,-2.24366045,-4.786808968,-6.781833649,-7.553192139,0.400285572,0.553094983,0.736320376,0.655959249,0.580941498,0.518194795,0.502758145,0.50089395,0.600129426,0.685067177,0.60439682,0.502598643,0.118453272,0.104851298,0.092179321,0.299611092,0.295798957,0.231548995,0.205838904,0.270743877,0.36644125,0.386647493,0.321670979,0.247571155,10.48224858,10.25483121,12.72689695,16.34370489,15.49352114,5.551396415,6.809133952,4.799132811,4.223564521,3.927142815,3.260374179,6.123554291,2.032735603,3.252707389,125,0,0
